# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-13 14:50:57 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427965 SPRING HARBOR STORM SEWER AT MADISON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427965
#            TS   parameter     statistic     Description
#        225457       00940     00003     Chloride, water, filtered, milligrams per liter (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	225457_00940_00003	225457_00940_00003_cd
USGS	05427965	2015-12-07	228	A
USGS	05427965	2015-12-08	252	A
USGS	05427965	2015-12-09	259	A
USGS	05427965	2015-12-10	244	A
USGS	05427965	2015-12-11	219	A
USGS	05427965	2015-12-12	220	A
USGS	05427965	2015-12-13	152	A
USGS	05427965	2015-12-14	98.5	A
USGS	05427965	2015-12-15	135	A
USGS	05427965	2015-12-16	120	A
USGS	05427965	2015-12-17	131	A
USGS	05427965	2015-12-18	155	A
USGS	05427965	2015-12-19	180	A
USGS	05427965	2015-12-20	205	A
USGS	05427965	2015-12-21	123	A
USGS	05427965	2015-12-22	95.0	A
USGS	05427965	2015-12-23	74.8	A
USGS	05427965	2015-12-24	84.7	A
USGS	05427965	2015-12-25	84.3	A
USGS	05427965	2015-12-26	89.0	A
USGS	05427965	2015-12-27	87.0	A
USGS	05427965	2015-12-28	101	A
USGS	05427965	2015-12-29	302	A
USGS	05427965	2015-12-30	422	A
USGS	05427965	2015-12-31	316	A
USGS	05427965	2016-01-01	492	A
USGS	05427965	2016-01-02	508	A
USGS	05427965	2016-01-03	569	A
USGS	05427965	2016-01-04	501	A
USGS	05427965	2016-01-05	435	A
USGS	05427965	2016-01-06	345	A
USGS	05427965	2016-01-07	563	A
USGS	05427965	2016-01-08	587	A
USGS	05427965	2016-01-09	417	A
USGS	05427965	2016-01-10	283	A
USGS	05427965	2016-01-11	242	A
USGS	05427965	2016-01-12	316	A
USGS	05427965	2016-01-13	349	A
USGS	05427965	2016-01-14	423	A
USGS	05427965	2016-01-15	401	A
USGS	05427965	2016-01-16	407	A
USGS	05427965	2016-01-17	402	A
USGS	05427965	2016-01-18	189	A
USGS	05427965	2016-01-19	10.7	A
USGS	05427965	2016-01-20	50.1	A
USGS	05427965	2016-01-21	158	A
USGS	05427965	2016-01-22	42.3	A
USGS	05427965	2016-01-23	15.1	A
USGS	05427965	2016-01-24	16.9	A
USGS	05427965	2016-01-25	18.8	A
USGS	05427965	2016-01-26	66.3	A
USGS	05427965	2016-01-27	751	A
USGS	05427965	2016-01-28	1330	A
USGS	05427965	2016-01-29	1140	A
USGS	05427965	2016-01-30	1020	A
USGS	05427965	2016-01-31	1280	A
USGS	05427965	2016-02-01	752	A
USGS	05427965	2016-02-02	872	A
USGS	05427965	2016-02-03	1240	A
USGS	05427965	2016-02-04	680	A
USGS	05427965	2016-02-05	620	A
USGS	05427965	2016-02-06	622	A
USGS	05427965	2016-02-07	559	A
USGS	05427965	2016-02-08	548	A
USGS	05427965	2016-02-09	646	A
USGS	05427965	2016-02-10	627	A
USGS	05427965	2016-02-11	600	A
USGS	05427965	2016-02-12	471	A
USGS	05427965	2016-02-13	357	A
USGS	05427965	2016-02-14	321	A
USGS	05427965	2016-02-15	359	A
USGS	05427965	2016-02-16	944	A
USGS	05427965	2016-02-17	1640	A
USGS	05427965	2016-02-18	2680	A
USGS	05427965	2016-02-19	838	A
USGS	05427965	2016-02-20	553	A
USGS	05427965	2016-02-21	619	A
USGS	05427965	2016-02-22	607	A
USGS	05427965	2016-02-23	544	A
USGS	05427965	2016-02-24	528	A
USGS	05427965	2016-02-25	622	A
USGS	05427965	2016-02-26	641	A
USGS	05427965	2016-02-27	494	A
USGS	05427965	2016-02-28	308	A
USGS	05427965	2016-02-29	514	A
USGS	05427965	2016-03-01	1120	A
USGS	05427965	2016-03-02	1410	A
USGS	05427965	2016-03-03	1820	A
USGS	05427965	2016-03-04	1660	A
USGS	05427965	2016-03-05	1670	A
USGS	05427965	2016-03-06	1260	A
USGS	05427965	2016-03-07	721	A
USGS	05427965	2016-03-08	649	A
USGS	05427965	2016-03-09	645	A
USGS	05427965	2016-03-10	777	A
USGS	05427965	2016-03-11	801	A
USGS	05427965	2016-03-12	806	A
USGS	05427965	2016-03-13	561	A
USGS	05427965	2016-03-14	676	A
USGS	05427965	2016-03-15	560	A
USGS	05427965	2016-03-16	416	A
USGS	05427965	2016-03-17	471	A
USGS	05427965	2016-03-18	476	A
USGS	05427965	2016-03-19	469	A
USGS	05427965	2016-03-20	447	A
USGS	05427965	2016-03-21	416	A
USGS	05427965	2016-03-22	368	A
USGS	05427965	2016-03-23	228	A
USGS	05427965	2016-03-24	480	A
USGS	05427965	2016-03-25	361	A
USGS	05427965	2016-03-26	356	A
USGS	05427965	2016-03-27	355	A
USGS	05427965	2016-03-28	375	A
USGS	05427965	2016-03-29	393	A
USGS	05427965	2016-03-30	302	A
USGS	05427965	2016-03-31	299	A
USGS	05427965	2016-04-01	283	A
USGS	05427965	2016-04-02	282	A
USGS	05427965	2016-04-03	316	A
USGS	05427965	2016-04-04	327	A
USGS	05427965	2016-04-05	327	A
USGS	05427965	2016-04-06	223	A
USGS	05427965	2016-04-07	259	A
USGS	05427965	2016-04-08	260	A
USGS	05427965	2016-04-09	264	A
USGS	05427965	2016-04-10	242	A
USGS	05427965	2016-04-11	243	A
USGS	05427965	2016-04-12	245	A
USGS	05427965	2016-04-13	225	A
USGS	05427965	2016-04-14	229	A
USGS	05427965	2016-04-15	256	A
USGS	05427965	2016-04-16	289	A
USGS	05427965	2016-04-17	290	A
USGS	05427965	2016-04-18	291	A
USGS	05427965	2016-04-19	222	A
USGS	05427965	2016-04-20	211	A
USGS	05427965	2016-04-21	227	A
USGS	05427965	2016-04-22	248	A
USGS	05427965	2016-04-23	267	A
USGS	05427965	2016-04-24	273	A
USGS	05427965	2016-04-25	279	A
USGS	05427965	2016-04-26	284	A
USGS	05427965	2016-04-27	188	A
USGS	05427965	2016-04-28	136	A
USGS	05427965	2016-04-29	181	A
USGS	05427965	2016-04-30	160	A
USGS	05427965	2016-05-01	147	A
USGS	05427965	2016-05-02	154	A
USGS	05427965	2016-05-03	159	A
USGS	05427965	2016-05-04	136	A
USGS	05427965	2016-05-05	173	A
USGS	05427965	2016-05-06	200	A
USGS	05427965	2016-05-07	235	A
USGS	05427965	2016-05-08	209	A
USGS	05427965	2016-05-09	198	A
USGS	05427965	2016-05-10	87.5	A
USGS	05427965	2016-05-11	114	A
USGS	05427965	2016-05-12	94.0	A
USGS	05427965	2016-05-13	97.8	A
USGS	05427965	2016-05-14	99.1	A
USGS	05427965	2016-05-15	119	A
USGS	05427965	2016-05-16	125	A
USGS	05427965	2016-05-17	144	A
USGS	05427965	2016-05-18	174	A
USGS	05427965	2016-05-19	183	A
USGS	05427965	2016-05-20	154	A
USGS	05427965	2016-05-21	116	A
USGS	05427965	2016-05-22	101	A
USGS	05427965	2016-05-23	97.4	A
USGS	05427965	2016-05-24	96.9	A
USGS	05427965	2016-05-25	86.5	A
USGS	05427965	2016-05-26	127	A
USGS	05427965	2016-05-27	91.5	A
USGS	05427965	2016-05-28	84.3	A
USGS	05427965	2016-05-29	124	A
USGS	05427965	2016-05-30	152	A
USGS	05427965	2016-05-31	121	A
USGS	05427965	2016-06-01	84.8	A
USGS	05427965	2016-06-02	103	A
USGS	05427965	2016-06-03	115	A
USGS	05427965	2016-06-04	128	A
USGS	05427965	2016-06-05	132	A
USGS	05427965	2016-06-06	117	A
USGS	05427965	2016-06-07	144	A
USGS	05427965	2016-06-08	128	A
USGS	05427965	2016-06-09	91.1	A
USGS	05427965	2016-06-10	87.2	A
USGS	05427965	2016-06-11	84.0	A
USGS	05427965	2016-06-12	92.6	A
USGS	05427965	2016-06-13	102	A
USGS	05427965	2016-06-14	194	A
USGS	05427965	2016-06-15	58.8	A
USGS	05427965	2016-06-16	64.0	A
USGS	05427965	2016-06-17	85.8	A
USGS	05427965	2016-06-18	89.7	A
USGS	05427965	2016-06-19	126	A
USGS	05427965	2016-06-20	223	A
USGS	05427965	2016-06-21	287	A
USGS	05427965	2016-06-22	238	A
USGS	05427965	2016-06-23	180	A
USGS	05427965	2016-06-24	235	A
USGS	05427965	2016-06-25	291	A
USGS	05427965	2016-06-26	51.4	A
USGS	05427965	2016-06-27	49.5	A
USGS	05427965	2016-06-28	52.5	A
USGS	05427965	2016-06-29	75.5	A
USGS	05427965	2016-06-30	77.2	A
USGS	05427965	2016-07-01	104	A
USGS	05427965	2016-07-02	149	A
USGS	05427965	2016-07-03	185	A
USGS	05427965	2016-07-04	169	A
USGS	05427965	2016-07-05	116	A
USGS	05427965	2016-07-06	44.6	A
USGS	05427965	2016-07-07	55.1	A
USGS	05427965	2016-07-08	66.2	A
USGS	05427965	2016-07-09	106	A
USGS	05427965	2016-07-10	136	A
USGS	05427965	2016-07-11	146	A
USGS	05427965	2016-07-12	185	A
USGS	05427965	2016-07-13	186	A
USGS	05427965	2016-07-14	222	A
USGS	05427965	2016-07-15	199	A
USGS	05427965	2016-07-16	247	A
USGS	05427965	2016-07-17	127	A
USGS	05427965	2016-07-18	80.1	A
USGS	05427965	2016-07-19	84.4	A
USGS	05427965	2016-07-20	95.1	A
USGS	05427965	2016-07-21	129	A
USGS	05427965	2016-07-22	38.8	A
USGS	05427965	2016-07-23	41.2	A
USGS	05427965	2016-07-24	41.5	A
USGS	05427965	2016-07-25	53.9	A
USGS	05427965	2016-07-26	74.4	A
USGS	05427965	2016-07-27	127	A
USGS	05427965	2016-07-28	135	A
USGS	05427965	2016-07-29	73.8	A
USGS	05427965	2016-07-30	87.1	A
USGS	05427965	2016-07-31	112	A
USGS	05427965	2016-08-01	159	A
USGS	05427965	2016-08-02	212	A
USGS	05427965	2016-08-03	279	A
USGS	05427965	2016-08-04	237	A
USGS	05427965	2016-08-05	44.8	A
USGS	05427965	2016-08-06	56.0	A
USGS	05427965	2016-08-07	74.2	A
USGS	05427965	2016-08-08	99.5	A
USGS	05427965	2016-08-09	139	A
USGS	05427965	2016-08-10	185	A
USGS	05427965	2016-08-11	172	A
USGS	05427965	2016-08-12	78.0	A
USGS	05427965	2016-08-13	81.2	A
USGS	05427965	2016-08-14	101	A
USGS	05427965	2016-08-15	120	A
USGS	05427965	2016-08-16	137	A
USGS	05427965	2016-08-17	69.8	A
USGS	05427965	2016-08-18	88.2	A
USGS	05427965	2016-08-19	59.8	A
USGS	05427965	2016-08-20	62.1	A
USGS	05427965	2016-08-21	69.8	A
USGS	05427965	2016-08-22	96.3	A
USGS	05427965	2016-08-23	138	A
USGS	05427965	2016-08-24	69.3	A
USGS	05427965	2016-08-25	55.0	A
USGS	05427965	2016-08-26	67.8	A
USGS	05427965	2016-08-27	52.5	A
USGS	05427965	2016-08-28	56.1	A
USGS	05427965	2016-08-29	53.5	A
USGS	05427965	2016-08-30	50.9	A
USGS	05427965	2016-08-31	45.8	A
USGS	05427965	2016-09-01	56.0	A
USGS	05427965	2016-09-02	91.1	A
USGS	05427965	2016-09-03	134	A
USGS	05427965	2016-09-04	192	A
USGS	05427965	2016-09-05	236	A
USGS	05427965	2016-09-06	254	A
USGS	05427965	2016-09-07	34.1	A
USGS	05427965	2016-09-08	41.4	A
USGS	05427965	2016-09-09	54.7	A
USGS	05427965	2016-09-10	63.2	A
USGS	05427965	2016-09-11	58.0	A
USGS	05427965	2016-09-12	114	A
USGS	05427965	2016-09-13	69.5	A
USGS	05427965	2016-09-14	57.4	A
USGS	05427965	2016-09-15	71.6	A
USGS	05427965	2016-09-16	61.2	A
USGS	05427965	2016-09-17	67.9	A
USGS	05427965	2016-09-18	82.5	A
USGS	05427965	2016-09-19	90.2	A
USGS	05427965	2016-09-20	58.7	A
USGS	05427965	2016-09-21	55.8	A
USGS	05427965	2016-09-22	66.2	A
USGS	05427965	2016-09-23	107	A
USGS	05427965	2016-09-24	119	A
USGS	05427965	2016-09-25	65.1	A
USGS	05427965	2016-09-26	65.8	A
USGS	05427965	2016-09-27	73.1	A
USGS	05427965	2016-09-28	86.0	A
USGS	05427965	2016-09-29	85.7	A
USGS	05427965	2016-09-30	100	P
